Name,Latitude,Longitude
Bollinger__MO,37.318346,-90.024604
Bon_Homme__SD,42.985799,-97.884199
Bond__IL,38.885924,-89.436592
Bonner__ID,48.324629,-116.62743
Bonneville__ID,43.395171,-111.621878
Boone__AR,36.304308,-93.079204
Boone__IL,42.318983,-88.824295
Boone__IN,40.050892,-86.469014
Boone__IA,42.038601,-93.938363
Boone__KY,38.974595,-84.731431
Boone__MO,38.989861,-92.310202
Boone__NE,41.703934,-98.070476
Boone__WV,38.022814,-81.713539
Borden__TX,32.73859,-101.439199
Bosque__TX,31.900819,-97.637641
Bossier__LA,32.695851,-93.616132
Botetourt__VA,37.565481,-79.797553
Bottineau__ND,48.794412,-100.831257
Boulder__CO,40.09497,-105.397691
Boundary__ID,48.773133,-116.524673
Bourbon__KS,37.8561,-94.850928
Bourbon__KY,38.202562,-84.20986
Bowie__TX,33.446062,-94.422393
Bowman__ND,46.110144,-103.505943
Box_Butte__NE,42.21038,-103.081779
Box_Elder__UT,41.621883,-113.043653
Boyd__KY,38.360004,-82.681406
Boyd__NE,42.894448,-98.773022
Boyle__KY,37.618104,-84.868352
Bracken__KY,38.680365,-84.115235
Bradford__FL,29.952386,-82.166599
Bradford__PA,41.791495,-76.502124
Bradley__AR,33.466549,-92.169156
Bradley__TN,35.153914,-84.859414
Branch__MI,41.918455,-85.066885
Brantley__GA,31.197334,-81.982978
Braxton__WV,38.699342,-80.731657
Brazoria__TX,29.167817,-95.434647
Brazos__TX,30.656713,-96.302394
Breathitt__KY,37.506632,-83.28304
Breckinridge__KY,37.777988,-86.432919
Bremer__IA,42.780895,-92.327356
Brevard__FL,28.298304,-80.700331
Brewster__TX,29.808997,-103.252458
Briscoe__TX,34.525172,-101.205893
Bristol_Bay__AK,58.730158,-156.996632
Bristol__VA,36.616954,-82.157564
Bristol__MA,41.746863,-71.090509
Bristol__RI,41.701614,-71.289286
Broadwater__MT,46.329849,-111.497873
Bronx__NY,40.848711,-73.852939
Brooke__WV,40.272645,-80.578691
Brookings__SD,44.376675,-96.797797
Brooks__GA,30.822934,-83.581905
Brooks__TX,27.034994,-98.215276
Broome__NY,42.161977,-75.830283
Broomfield__CO,39.953302,-105.052038
Broward__FL,26.193535,-80.476683
Brown__IL,39.962069,-90.750309
Brown__IN,39.192864,-86.239728
Brown__KS,39.825931,-95.569905
Brown__MN,44.246541,-94.733647
Brown__NE,42.359562,-99.92392
Brown__OH,38.931377,-83.866772
Brown__SD,45.589254,-98.352175
Brown__TX,31.764103,-98.99847
Brown__WI,44.473961,-87.995926
Brule__SD,43.72988,-99.092941
Brunswick__NC,34.038754,-78.227765
Brunswick__VA,36.764204,-77.861483
Bryan__GA,32.017969,-81.438543
Bryan__OK,33.964004,-96.264137
Buchanan__IA,42.470328,-91.838666
Buchanan__MO,39.660369,-94.808173
Buchanan__VA,37.26812,-82.038151
Buckingham__VA,37.573928,-78.529169
Bucks__PA,40.336887,-75.10706
Buena_Vista__VA,37.731365,-79.356635
Buena_Vista__IA,42.741522,-95.141432
Buffalo__NE,40.855226,-99.074983
Buffalo__SD,44.044306,-99.203998
Buffalo__WI,44.385642,-91.761229
Bullitt__KY,37.969928,-85.702641
Bulloch__GA,32.393408,-81.74381
Bullock__AL,32.101759,-85.717261
Buncombe__NC,35.609371,-82.530426
Bureau__IL,41.401304,-89.528377
Burke__GA,33.050819,-82.011571
Burke__NC,35.746182,-81.70618
Burke__ND,48.786453,-102.520087
Burleigh__ND,46.971843,-100.462001
Burleson__TX,30.493487,-96.622091
Burlington__NJ,39.875786,-74.663006
Burnet__TX,30.78963,-98.201187
Burnett__WI,45.866878,-92.37574
Burt__NE,41.854179,-96.337746
Butler__AL,31.751667,-86.681969
Butler__IA,42.734708,-92.780066
Butler__KS,37.773649,-96.83884
Butler__KY,37.207013,-86.682471
Butler__MO,36.71518,-90.40313
Butler__NE,41.226072,-97.132039
Butler__OH,39.439747,-84.565734
Butler__PA,40.913847,-79.918978
Butte__CA,39.665959,-121.601919
Butte__ID,43.685101,-113.177631
Butte__SD,44.896226,-103.501436
Butts__GA,33.290355,-83.958221
Cabarrus__NC,35.388369,-80.552694
Cabell__WV,38.419578,-82.243397
Cache__UT,41.734168,-111.744568
Caddo__OK,35.16792,-98.381045
Caddo__LA,32.577195,-93.882423
Calaveras__CA,38.1839,-120.561442
Calcasieu__LA,30.229559,-93.358015
Caldwell__KY,37.148642,-87.870509
Caldwell__MO,39.658998,-93.979179
Caldwell__NC,35.957915,-81.530002
Caldwell__TX,29.832399,-97.628141
Caldwell__LA,32.101219,-92.114231
Caledonia__VT,44.468791,-72.112168
Calhoun__AL,33.771706,-85.822513
Calhoun__AR,33.56046,-92.513879
Calhoun__FL,30.388801,-85.197915
Calhoun__GA,31.521279,-84.62629
Calhoun__IL,39.164262,-90.666295
Calhoun__IA,42.38617,-94.643683
Calhoun__MI,42.24299,-85.012385
Calhoun__MS,33.936634,-89.337114
Calhoun__SC,33.67478,-80.780347
Calhoun__TX,28.441719,-96.579574
Calhoun__WV,38.844159,-81.115478
Callahan__TX,32.29315,-99.372249
Callaway__MO,38.835547,-91.923446
Calloway__KY,36.620978,-88.274086
Calumet__WI,44.07841,-88.212132
Calvert__MD,38.52261,-76.529494
Camas__ID,43.463396,-114.804427
Cambria__PA,40.510312,-78.710463
Camden__GA,30.913347,-81.642001
Camden__MO,38.026527,-92.765327
Camden__NJ,39.802352,-74.961251
Camden__NC,36.342344,-76.162488
Cameron__PA,41.438288,-78.198314
Cameron__TX,26.102923,-97.478958
Cameron__LA,29.871812,-93.164948
Camp__TX,32.974581,-94.979085
Campbell__KY,38.946981,-84.379583
Campbell__SD,45.785575,-100.002107
Campbell__TN,36.401592,-84.159249
Campbell__VA,37.210151,-79.095428
Campbell__WY,44.191999,-105.517014
Canadian__OK,35.54341,-97.979844
Candler__GA,32.403852,-82.071235
Cannon__TN,35.808394,-86.062404
Canyon__ID,43.623051,-116.708527
Cape_Girardeau__MO,37.384141,-89.685658
Cape_May__NJ,39.086142,-74.847716
Carbon__MT,45.224475,-109.028551
Carbon__PA,40.918366,-75.705039
Carbon__UT,39.673284,-110.588484
Carbon__WY,41.70359,-106.933153
Caribou__ID,42.786072,-111.544273
Carlisle__KY,36.857726,-88.975757
Carlton__MN,46.603818,-92.671044
Caroline__MD,38.871531,-75.831662
Caroline__VA,38.030319,-77.352348
Carroll__AR,36.337774,-93.541663
Carroll__GA,33.582237,-85.080527
Carroll__IL,42.0709,-89.924189
Carroll__IN,40.58498,-86.565141
Carroll__IA,42.039492,-94.867647
Carroll__KY,38.668394,-85.124024
Carroll__MD,39.563318,-77.015353
Carroll__MS,33.440795,-89.918887
Carroll__MO,39.427375,-93.500227
Carroll__NH,43.867567,-71.201665
Carroll__OH,40.579884,-81.090787
Carroll__TN,35.965918,-88.452298
Carroll__VA,36.731928,-80.727865
Carson_City__NV,39.15306,-119.747379
Carson__TX,35.405496,-101.355356
Carter__KY,38.309549,-83.048796
Carter__MO,36.944858,-90.945705
Carter__MT,45.516825,-104.515324
Carter__OK,34.251848,-97.287927
Carter__TN,36.284744,-82.126593
Carteret__NC,34.858313,-76.526967
Carver__MN,44.82132,-93.800091
Cascade__MT,47.316443,-111.350571
Casey__KY,37.321962,-84.92822
Cass__IL,39.969202,-90.245704
Cass__IN,40.753799,-86.355168
Cass__IA,41.333824,-94.933302
Cass__MI,41.916966,-86.000257
Cass__MN,46.951745,-94.333705
Cass__MO,38.647159,-94.354242
Cass__NE,40.909878,-96.140609
Cass__ND,46.927003,-97.252375
Cass__TX,33.083698,-94.357579
Cassia__ID,42.282313,-113.626328
Castro__TX,34.533621,-102.258786
Caswell__NC,36.394298,-79.339609
Catahoula__LA,31.666517,-91.846703
Catawba__NC,35.66045,-81.212848
Catoosa__GA,34.899393,-85.137353
Catron__NM,33.901858,-108.392088
Cattaraugus__NY,42.239095,-78.662335
Cavalier__ND,48.768439,-98.46379
Cayuga__NY,43.008546,-76.574587
Cecil__MD,39.562354,-75.941585
Cedar__IA,41.77236,-91.132611
Cedar__MO,37.733655,-93.850014
Cedar__NE,42.604511,-97.256824
Centre__PA,40.90916,-77.84783
Cerro_Gordo__IA,43.074975,-93.250965
Chaffee__CO,38.738224,-106.316685
Chambers__AL,32.915504,-85.394032
Chambers__TX,29.696374,-94.669445
Champaign__IL,40.13898,-88.196996
Champaign__OH,40.132759,-83.767542
Chariton__MO,39.517968,-92.96162
Charles_City__VA,37.361054,-77.05417
Charles__MD,38.472853,-77.015427
Charles_Mix__SD,43.206185,-98.595143
Charleston__SC,32.800458,-79.94248
Charlevoix__MI,45.513164,-85.450392
Charlotte__FL,26.868933,-81.941077
Charlotte__VA,37.009042,-78.658568
Charlottesville__VA,38.037658,-78.485381
Charlton__GA,30.779904,-82.139644
Chase__KS,38.299475,-96.594029
Chase__NE,40.53039,-101.694192
Chatham__GA,31.980412,-81.085206
Chatham__NC,35.704994,-79.251454
Chattahoochee__GA,32.347445,-84.788021
Chattooga__GA,34.474178,-85.345289
Chautauqua__KS,37.154259,-96.245396
Chautauqua__NY,42.304216,-79.407595
Chaves__NM,33.361604,-104.469837
Cheatham__TN,36.255169,-87.100808
Cheboygan__MI,45.47612,-84.495271
Chelan__WA,47.860974,-120.619041
Chemung__NY,42.15528,-76.747179
Chenango__NY,42.478024,-75.602241
Cherokee__AL,34.069515,-85.654242
Cherokee__GA,34.244317,-84.475057
Cherokee__IA,42.742737,-95.633262
Cherokee__KS,37.169392,-94.845698
Cherokee__NC,35.136232,-84.061309
Cherokee__OK,35.904367,-94.996796
Cherokee__SC,35.049796,-81.607647
Cherokee__TX,31.843872,-95.156345
Cherry__NE,42.571323,-101.047653
Chesapeake__VA,36.679376,-76.301788
Cheshire__NH,42.925455,-72.248217
Chester__PA,39.973965,-75.749732
Chester__SC,34.689345,-81.161249
Chester__TN,35.420253,-88.611353
Chesterfield__SC,34.637018,-80.159227
Chesterfield__VA,37.378434,-77.585847
Cheyenne__CO,38.835386,-102.604585
Cheyenne__KS,39.789918,-101.727326
Cheyenne__NE,41.214236,-103.011929
Chickasaw__IA,43.059741,-92.31721
Chickasaw__MS,33.921654,-88.945808
Chicot__AR,33.267139,-91.297158
Childress__TX,34.529337,-100.208336
Chilton__AL,32.854051,-86.726607
Chippewa__MI,46.321819,-84.52063
Chippewa__MN,45.028625,-95.564108
Chippewa__WI,45.069092,-91.283505
Chisago__MN,45.505444,-92.903849
Chittenden_VT,44.463327,-73.069412
Choctaw__AL,31.990997,-88.248908
Choctaw__MS,33.345964,-89.251332
Choctaw__OK,34.027645,-95.554208
Chouteau__MT,47.886837,-110.436189
Chowan__NC,36.128979,-76.602752
Christian__IL,39.545524,-89.279593
Christian__KY,36.892059,-87.492986
Christian__MO,36.969739,-93.187614
Churchill__NV,39.53771,-118.264165
Cibola__NM,34.93205,-108.000374
Cimarron__OK,36.74839,-102.517698
Citrus__FL,28.84364,-82.52481
Clackamas__OR,45.160493,-122.195127
Claiborne__MS,31.97281,-90.915424
Claiborne__TN,36.501542,-83.660722
Claiborne__LA,32.827043,-92.989767
Clallam__WA,48.110903,-123.88986
Clare__MI,43.991137,-84.838325
Clarendon__SC,33.664682,-80.217889
Clarion__PA,41.198159,-79.420369
Clark__AR,34.053316,-93.176208
Clark__ID,44.290218,-112.354613
Clark__IL,39.332364,-87.791687
Clark__IN,38.476217,-85.711122
Clark__KS,37.233831,-99.813869
Clark__KY,37.970133,-84.144974
Clark__MO,40.407275,-91.729472
Clark__NV,36.214257,-115.013812
Clark__OH,39.917032,-83.783676
Clark__SD,44.855211,-97.724912
Clark__WA,45.771674,-122.485903
Clark__WI,44.739306,-90.609945
Clarke__AL,31.685521,-87.818624
Clarke__GA,33.952185,-83.367152
Clarke__IA,41.029191,-93.784096
Clarke__MS,32.045374,-88.687976
Clarke__VA,39.115381,-77.990836
Clatsop__OR,46.024509,-123.705014
Clay__AL,33.2704,-85.863525
Clay__AR,36.367302,-90.418704
Clay__FL,29.986584,-81.865036
Clay__GA,31.619831,-84.992583
Clay__IL,38.746832,-88.482344
Clay__IN,39.393951,-87.115837
Clay__IA,43.081224,-95.149875
Clay__KS,39.344964,-97.168853
Clay__KY,37.157317,-83.718433
Clay__MN,46.898377,-96.494901
Clay__MS,33.661733,-88.783326
Clay__MO,39.315551,-94.421502
Clay__NE,40.523669,-98.05105
Clay__NC,35.052997,-83.752264
Clay__SD,42.91615,-96.980468
Clay__TN,36.545788,-85.545816
Clay__TX,33.785904,-98.212917
Clay__WV,38.459826,-81.081866
Clayton__GA,33.542686,-84.355573
Clayton__IA,42.840985,-91.323576
Clear_Creek__CO,39.689403,-105.670783
Clearfield__PA,41.000249,-78.473749
Clearwater__ID,46.67257,-115.6535
Clearwater__MN,47.575873,-95.371117
Cleburne__AL,33.671964,-85.516126
Cleburne__AR,35.566315,-92.05995
Clermont__OH,39.052084,-84.149614
Cleveland__AR,33.893201,-92.188714
Cleveland__NC,35.33463,-81.557114
Cleveland__OK,35.206376,-97.323088
Clinch__GA,30.917653,-82.702614
Clinton__IL,38.606295,-89.426228
Clinton__IN,40.305944,-86.477567
Clinton__IA,41.898073,-90.534243
Clinton__KY,36.728865,-85.153426
Clinton__MI,42.950455,-84.591695
Clinton__MO,39.608723,-94.395803
Clinton__NY,44.752712,-73.705643
Clinton__OH,39.429004,-83.795048
Clinton__PA,41.245301,-77.649141
Cloud__KS,39.487329,-97.64139
Coahoma__MS,34.22867,-90.603165
Coal__OK,34.582861,-96.288039
Cobb__GA,33.93994,-84.574166
Cochise__AZ,31.840129,-109.775163
Cochran__TX,33.60844,-102.830449
Cocke__TN,35.916198,-83.119224
Coconino__AZ,35.829692,-111.773728
Codington__SD,44.966285,-97.198837
Coffee__AL,31.402258,-85.989602
Coffee__GA,31.549245,-82.844938
Coffee__TN,35.488759,-86.078219
Coffey__KS,38.23645,-95.729137
Coke__TX,31.877105,-100.635236
Colbert__AL,34.703112,-87.801457
Cole__MO,38.503233,-92.280027
Coleman__TX,31.914205,-99.346622
Coles__IL,39.51368,-88.220782
Colfax__NE,41.57496,-97.088945
Colfax__NM,36.612962,-104.640126
Colleton__SC,32.835018,-80.655244
Collier__FL,26.118786,-81.400955
Collin__TX,33.194737,-96.579707
Collingsworth__TX,34.963358,-100.272135
Colonial_Heights__VA,37.261685,-77.396804
Colorado__TX,29.596296,-96.508935
Colquitt__GA,31.189758,-83.769741
Columbia__AR,33.223038,-93.232843
Columbia__FL,30.221333,-82.623168
Columbia__GA,33.547631,-82.252296
Columbia__NY,42.247729,-73.626806
Columbia__OR,45.941932,-123.081079
Columbia__PA,41.045517,-76.40426
